gender,comment,talkid,videourl,tone,expertise,encouraging,respectful
male,i had the pleasure of hearing brother steindl-rast on kauai this winter.  his talk about gratitude was so inspiring - and so are your beautiful photographs.  it did my heart good to be reminded of this very simple act to bring joy into my life.,789,http://download.ted.com/talks/GaryLauder_2010.mp4,Positive,Non-STEM degree,Encouraging,Respectful
male,"i used to think this guy was just a media hog with his stunts. this talk completely changed my mind. i still think he's a bit crazy, but you have to have serious respect for this kind of willpower. simply amazing. we need more people that are crazy-dedicated like this.",1506,http://download.ted.com/talks/ChrisGerdes_2012X.mp4,Positive,No Degree,Encouraging,Neutral
male,"i wonder how many of you know that many human trials happen in africa.  why? just in case the numbers are not good. and you know that that means, for both them and you, right.",831,http://download.ted.com/talks/ThelmaGolden_2009.mp4,Negative,No Degree,Discouraging,Disrespectful
female,"i agree with her, cuz dissent is a need today, before iraq war , bush did  blindly what his few experts told him to do , but they were all wrong",1250,http://download.ted.com/talks/GuyPhilippeGoldstein_2010X.mp4,Neutral,STEM degree,Neutral,Disrespectful
female,"i think introverts are quiet people. they don't feel shy to be alone and that is their biggest power because when you are alone, you meet yourself.",991,http://download.ted.com/talks/RAMashelkar_2009I.mp4,None,STEM degree,Neutral,Respectful
female,to kates critics: lighten up and think about what her message is. to kate: i think your cool. your critics may well ask what use is a new born baby.,1113,http://download.ted.com/talks/ChadeMengTan_2010Z.mp4,Positive,Non-STEM degree,Encouraging,Neutral
female,"i shared your talk. how inspiring to reflect on the reasons that rigid perfectionism is so fatal to creativity. you gave so many lucid, cogent examples. i always take a little ted at lunchtime as food for thought. how delicious was your talk today!",447,http://download.ted.com/talks/NatalieMacMaster_2003.mp4,Strongly Positive,STEM degree,Encouraging,Respectful
female,"look beyond the messenger. i know many people will have a hard time seeing this woman wearing navy blue again, but her message goes beyond her own personal experience. like many ted talks, you think its going to be about one thing, but its really about something bigger.",234,http://download.ted.com/talks/KarenArmstrong_2008.mp4,Neutral,Non-STEM degree,Encouraging,Respectful
female,"i stopped the video when she said ""my project is about art, specifically about black artists"". if a white guy said ""my project is about art, specifically about white artists"" he would be racist.",1449,http://download.ted.com/talks/DavidKelley_2012.mp4,Negative,No Degree,Discouraging,Disrespectful
female,"no matter how confident you are , there are times when you doubt yourself and lose sight of your dream. this talk is perfect for getting you back on track.",526,http://download.ted.com/talks/MichaelMerzenich_2004.mp4,None,STEM degree,Encouraging,Respectful
female,미림    chieko asakawa became blind after a swimming pool accident. i can't imagine what the blind people's feelings are like. maybe she felt very scared and she spent a hard time. but she overcame her disability. i want to have a passion for challenges like her.,78,http://download.ted.com/talks/AlSeckel_2004.mp4,None,Non-STEM degree,Encouraging,Neutral
female,"at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on.",1352,http://download.ted.com/talks/JackHorner_2010X.mp4,None,No Degree,Neutral,Neutral
female,just finished reading her book. fantastic but sad story. i'd encourage you to read it to get a better picture of what life is like in north korea and the difficulties the people have trying to escape through china.,714,http://download.ted.com/talks/AlexisOhanian_2009I.mp4,Neutral,Non-STEM degree,Discouraging,Respectful
female,incredible story. large organizations and cities have chosen to consider this art viable so any criticisms here are from those possibly not happy with their own creative lives. glad to see you joy of creativity supported.  bravo !!,1172,http://download.ted.com/talks/OnyxAshanti_2011S.mp4,Positive,Non-STEM degree,Encouraging,Neutral
female,"i really enjoyed this video and i definitely agree with her. however, the problem with gaming today is that people get addicted to it and they sacrifice their real life friends, physical activity, and family to play wow or go on a raid. great video.",889,http://download.ted.com/talks/ChipConley_2010.mp4,Positive,Non-STEM degree,Encouraging,Neutral
female,"okay i'm a gamer and i'm passionate about it but your conference is just not convincing enough. your claims are so big but your supporting ideas are suffering from lack of reality.  you might be right, but you just couldn't show it to me.",1470,http://download.ted.com/talks/DamianPalin_2012U.mp4,Negative,No Degree,Discouraging,Disrespectful
female,your reusable cloth grocery bag doesn't really matter very much when all the other food packaging that you carry home weighs tens of times as much as that flimsy little plastic carry bag you gave up.,498,http://download.ted.com/talks/JohnWooden_2001.mp4,Neutral,Non-STEM degree,Encouraging,Neutral
female,if mrs. goodall travels 300 days a year as she says her ecological footprint must be gigantic. thus i humbly doubt the seriousness of her environmental commitment.,2001,http://download.ted.com/talks/SaraLewis_2014.mp4,Negative,STEM degree,Discouraging,Respectful
female,"she has a strong personality and passion when she talks that is motivating. stay hungry, never stop dreaming, stay around with the correct people, and work your ass off. for me that's the formula to succes in everything you want so bad.",526,http://download.ted.com/talks/MichaelMerzenich_2004.mp4,Positive,STEM degree,Encouraging,Disrespectful
female,"i too was a little sceptical at first, i thought the intro was a little cheesy, but when she knuckled down and started revealing her message it turned out to be one of the best talks ive seen! favourited.",889,http://download.ted.com/talks/ChipConley_2010.mp4,Positive,Non-STEM degree,Encouraging,Respectful
female,"don't you think we are going the wrong way on this? we glorify the abstract. let them go. enough already. i sicken! we don't benefit for this stuff at all, just reinforce our weaknessses. end it. let's move on.",1715,http://download.ted.com/talks/JoshuaPrager_2013.mp4,Negative,STEM degree,Discouraging,Disrespectful
female,she is stylish and smart.  thats nice.  her style is just a bit like that incredible liberian.  those stats at the beginning were a shock to me. i figured they talked in a chemical language.  thjats neat how that works.,1670,http://download.ted.com/talks/KeithChen_2012G.mp4,Positive,,Encouraging,Disrespectful
female,"total flop. i think i would've liked a little history about the people she spoke of. i knew none of them or anything about them; or her. i did like the broken japanese vase, and her unbroken one. i also liked her mentioning of the void!",797,http://download.ted.com/talks/EricDishman_2009P.mp4,Neutral,Non-STEM degree,Neutral,Neutral
